Empresa,Nicho,Site,WhatsApp,Instagram,Google_Maps,Territorio,Status,Notas,WebsiteQuality,Link_WhatsApp
OdontoLógica,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,9137290310,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/OdontoL%C3%B3gica/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b75df645e526a1:0x263a476cfd973413!8m2!3d-2.9946908!4d-47.357783!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRM05VbGxVMlZSRUFF4AEA-gEECAAQKA!16s%2Fg%2F11kn6rdx2z?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/5509137290310
Campos Odontologia - Dr. Alexandre Campos | Consultório Odontológico em Paragominas,Clinica Odontologica,https://www.facebook.com/ConsultorioDrAlexandreCampos/,91983000105,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Campos+Odontologia+-+Dr.+Alexandre+Campos+%7C+Consult%C3%B3rio+Odontol%C3%B3gico+em+Paragominas/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b7675faa683ed9:0x1382ff7ca425088f!8m2!3d-2.9963833!4d-47.3531695!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgEHZGVudGlzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSSk9GbzNZa1pCRUFF4AEA-gEECAAQLg!16s%2Fg%2F1vcjnb2f?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091983000105
Clínica + Sorriso Odontologia,Clinica Odontologica,http://www.instagram.com/maissorrisoparagominas,91991157788,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+%2B+Sorriso+Odontologia/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b7675e0252cfd7:0x414501dc6217a28c!8m2!3d-2.9996244!4d-47.3504771!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyczVWRlJGVmpGT1ZWSjJZVlZrYmxSck1UQldiVVkxVW01U1RGWnRZeEFC4AEA-gEECA0QNQ!16s%2Fg%2F11g69hb6_l?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091991157788
Clínica Odontológica Prime Odontomedic,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,91981662990,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Prime+Odontomedic/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b75df515d621c1:0x8939742b09b0ef51!8m2!3d-2.997952!4d-47.355305!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgEYZGVudGFsX2ltcGxhbnRzX3Byb3ZpZGVymgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1Q1dWcHRlSFprYWtaSlRWWmtVRm94Vm0xTmVteHJXRE5zVFdKdFl4QULgAQD6AQQIABBE!16s%2Fg%2F11c5hhv7xt?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091981662990
Clínica Odontológica OdontoClean,Clinica Odontologica,https://www.facebook.com/odontocleanparagominas/,91991738934,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+OdontoClean/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b75df5e2a6358f:0x2e45a83f7479357c!8m2!3d-2.9927775!4d-47.3523413!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEGSAQdkZW50aXN04AEA!16s%2Fg%2F11c6_qly49?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091991738934
Clínica Saúde Oral,Clinica Odontologica,http://www.instagram.com/saudeoralparagominas,91991849832,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Sa%C3%BAde+Oral/@-2.9946908,-47.3958918,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b767c264418549:0xfb06b8b0a0836dcc!8m2!3d-2.9963695!4d-47.3589648!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgEHZGVudGlzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVObmJVbGxSbGhCRUFF4AEA-gEECAAQNQ!16s%2Fg%2F11sbq1m69r?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091991849832
Clínica Odontológica - Dra. Sâmia Caldas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,91993868504,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+-+Dra.+S%C3%A2mia+Caldas/@-2.9995329,-47.3888238,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92b767584a5bb97f:0x5a491b8fd5de93cb!8m2!3d-2.9995329!4d-47.350715!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNXJkMUZ0YUdwVFIxWnRVVmh2TVZKck1WQmliV1JHV2pKMFNsWkZSUkFC4AEA-gEECAAQFg!16s%2Fg%2F11ld43y0ll?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091993868504
Oralfy Belém,Clinica Odontologica,https://oralfybelem.com.br/,91981336575,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Oralfy+Bel%C3%A9m/@-1.4590566,-48.5309545,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a48f06e8906f35:0xae63b6a8d1da756a!8m2!3d-1.4384925!4d-48.4892105!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgEHZGVudGlzdJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOaVgwNWxVRlpSRUFF4AEA-gEECEUQPA!16s%2Fg%2F11k56dftg5?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091981336575
Sorrir Clínica Odontológica,Clinica Odontologica,http://www.clinicasorrir.com/,9130313232,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Sorrir+Cl%C3%ADnica+Odontol%C3%B3gica/@-1.431351,-48.5006887,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a48c0ebe16de5d:0xf90e17b40a6577ad!8m2!3d-1.431351!4d-48.4625799!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVObmRHVmZXRVozRUFF4AEA-gEECAAQOA!16s%2Fg%2F1ptwjl1nx?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/5509130313232
Pará Dentes - Cabanagem - Clínica Odontológica,Clinica Odontologica,https://paradentes.com.br/,91988107778,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Par%C3%A1+Dentes+-+Cabanagem+-+Cl%C3%ADnica+Odontol%C3%B3gica/@-1.3687066,-48.4734014,14z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Bel%C3%A9m,PA!3m6!1s0x92a4611fd467c59b:0xddce59a4323fc41e!8m2!3d-1.3687066!4d-48.4352926!15sCiFDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBCZWzDqW0sUEFaIyIhY2xpbmljYSBvZG9udG9sb2dpY2EgZW0gYmVsw6ltIHBhkgENZGVudGFsX2NsaW5pY5oBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyeFplbVZHUms5amFscHFWRVZGTVZkdWNIbGtSbEpUVmpCS1JsTlhZeEFC4AEA-gEECAAQKw!16s%2Fg%2F11twkmq3y3?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Belém,Pendente,Nao,good,https://wa.me/55091988107778
