Empresa,Nicho,Site,WhatsApp,Instagram,Google_Maps,Territorio,Status,Notas,WebsiteQuality,Link_WhatsApp
OdontoLógica,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,09137290310,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/OdontoL%C3%B3gica/@-2.9946908,-47.3673102,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df645e526a1:0x263a476cfd973413!8m2!3d-2.9946908!4d-47.357783!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTNOVWxsVTJWUkVBReABAPoBBAgAECg!16s%2Fg%2F11kn6rdx2z?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/5509137290310
CIOP Odontologia | Dentista em Paragominas,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091988741360,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/CIOP+Odontologia+%7C+Dentista+em+Paragominas/@-2.9946908,-47.3673102,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767c64820aab1:0xfce1baaa3f879607!8m2!3d-2.9931159!4d-47.3577425!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZOV0VoNlQxUlBjemhoWlVaM0VBReABAPoBBAgAEDI!16s%2Fg%2F11jgdr4_k3?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091988741360
Clínica Odontológica Prime Odontomedic,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091981662990,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Prime+Odontomedic/@-2.9946908,-47.3673102,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75df515d621c1:0x8939742b09b0ef51!8m2!3d-2.997952!4d-47.355305!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBGGRlbnRhbF9pbXBsYW50c19wcm92aWRlcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUNXVnB0ZUhaa2FrWkpUVlprVUZveFZtMU5lbXhyV0ROc1RXSnRZeEFC4AEA-gEECAAQRA!16s%2Fg%2F11c5hhv7xt?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091981662990
Consultório Odontológico Dra. Kamila Ricardo,Clinica Odontologica,https://wa.me/5591993828511,091993828511,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Consult%C3%B3rio+Odontol%C3%B3gico+Dra.+Kamila+Ricardo/@-2.9849322,-47.3582793,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b7610e17aa1425:0x2ecd549b98d38ce2!8m2!3d-2.9849322!4d-47.3487521!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBrVG1NeFNUUlNibkJyVXpCMFUxSldiSHBsYTBWNFZtcENORmt4UlJBQuABAPoBBAgAEEU!16s%2Fg%2F11sqscbfdj?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091993828511
Clínica + Sorriso Odontologia,Clinica Odontologica,http://www.instagram.com/maissorrisoparagominas,091991157788,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+%2B+Sorriso+Odontologia/@-2.9996244,-47.3600043,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b7675e0252cfd7:0x414501dc6217a28c!8m2!3d-2.9996244!4d-47.3504771!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnM1VkZSRlZqRk9WVkoyWVZWa2JsUnJNVEJXYlVZMVVtNVNURlp0WXhBQuABAPoBBAgNEDU!16s%2Fg%2F11g69hb6_l?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091991157788
Uniq - Odontologia Especializada,Clinica Odontologica,http://bio.site/UniqOdonto,091993477969,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Uniq+-+Odontologia+Especializada/@-2.9826042,-47.3572419,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b75d2742554c35:0x70b3ff5613cde5f2!8m2!3d-2.9826042!4d-47.3477147!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTVkamwyVmsxUkVBReABAPoBBAgAEDE!16s%2Fg%2F11tx7_qbfv?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091993477969
Campos Odontologia - Dr. Alexandre Campos | Consultório Odontológico em Paragominas,Clinica Odontologica,https://www.facebook.com/ConsultorioDrAlexandreCampos/,091983000105,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Campos+Odontologia+-+Dr.+Alexandre+Campos+%7C+Consult%C3%B3rio+Odontol%C3%B3gico+em+Paragominas/@-2.9963833,-47.3626967,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b7675faa683ed9:0x1382ff7ca425088f!8m2!3d-2.9963833!4d-47.3531695!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUkpPRm8zWWtaQkVBReABAPoBBAgAEC4!16s%2Fg%2F1vcjnb2f?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091983000105
Clínica Saúde Oral,Clinica Odontologica,http://www.instagram.com/saudeoralparagominas,091991849832,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Sa%C3%BAde+Oral/@-2.9963695,-47.368492,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767c264418549:0xfb06b8b0a0836dcc!8m2!3d-2.9963695!4d-47.3589648!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVTm5iVWxsUmxoQkVBReABAPoBBAgAEDU!16s%2Fg%2F11sbq1m69r?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091991849832
Clínica Saúde Oral,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091993868504,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+-+Dra.+S%C3%A2mia+Caldas/@-2.9995329,-47.3602422,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b767584a5bb97f:0x5a491b8fd5de93cb!8m2!3d-2.9995329!4d-47.350715!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBDWRlbnRhbF9jbGluaWOaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVyZDFGdGFHcFRSMVp0VVZodk1WSnJNVkJpYldSR1dqSjBTbFpGUlJBQuABAPoBBAgAEBY!16s%2Fg%2F11ld43y0ll?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091993868504
CEO- Centro de Excelência Odontólogica,Clinica Odontologica,https://wa.me/message/ZFIGMNUZMS7PA1,091982021678,http://www.instagram.com/maissorrisoparagominas,"https://www.google.com.br/maps/place/CEO-+Centro+de+Excel%C3%AAncia+Odont%C3%B3logica/@-2.9995329,-47.3602422,16z/data=!4m10!1m2!2m1!1sClinica+Odontologica+em+Paragominas,PA!3m6!1s0x92b7675fd0002489:0x3a2ea31aa9b89e25!8m2!3d-2.9973091!4d-47.3515823!15sCiZDbGluaWNhIE9kb250b2xvZ2ljYSBlbSBQYXJhZ29taW5hcyxQQVooIiZjbGluaWNhIG9kb250b2xvZ2ljYSBlbSBwYXJhZ29taW5hcyBwYZIBB2RlbnRpc3SaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUkNPV0o2TFdsblJSQULgAQD6AQQIABA3!16s%2Fg%2F11gf0vv4hj?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",Paragominas,Pendente,Nao,good,https://wa.me/55091982021678
